Unnamed: 0,测试用例,模型回答,结合prompt后,模型回答.1,正确选项
2,请按照以下企业家的学历层次从高到低排序:A李书福>雷军>宗庆后;B宗庆后>李书福>雷军;C雷军>李书福>宗庆后;,,"\```markdown
**Question:** 请按照以下企业家的学历层次从高到低排序: A李书福>雷军>宗庆后; B宗庆后>李书福>雷军; C雷军>李书福>宗庆后;

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. **企业家学历背景：** 李书福、雷军、宗庆后。
2. **教育经历：** 查看每位企业家的最高学历及其学校。
3. **排序逻辑：** 从最高学历到最低学历。
\```","```markdown
**Question:** 请按照以下企业家的学历层次从高到低排序: A李书福>雷军>宗庆后; B宗庆后>李书福>雷军; C雷军>李书福>宗庆后;

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. **企业家学历背景：** 李书福、雷军、宗庆后。
2. **教育经历：** 查看每位企业家的最高学历及其学校。
3. **排序逻辑：** 从最高学历到最低学历。
```

**排序分析:**

1. **雷军**：毕业于武汉大学，获得计算机科学学士学位。
2. **李书福**：没有正式大学学历，但曾经任职博士校外导师。
3. **宗庆后**：未有正式大学学历，主要以自学成才著称。

基于最高学历：

**正确答案为：C雷军>李书福>宗庆后**
",C
3,请按照发现时间排序以下元素:氧气、氢气、氮气、碳:A氢气>氧气>碳>氮气;B碳>氧气>氮气>氢气;C氮气>氧气>氢气>碳;,,"```markdown
Question: 请按照发现时间排序以下元素:氧气、氢气、氮气、碳:A氢气>氧气>碳>氮气;B碳>氧气>氮气>氢气;C氮气>氧气>氢气>碳;
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供化学元素发现历史领域信息的专家，旨在根据化学元素发现历史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解化学元素发现历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉化学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 氢气发现时间，氧气发现时间，氮气发现时间，碳发现时间
2. 元素发现的进化顺序
3. 历史上科学方法的发展与元素发现时间的关系
```","```markdown
Question: 请按照发现时间排序以下元素:氧气、氢气、氮气、碳: A 氢气>氧气>碳>氮气; B 碳>氧气>氮气>氢气; C 氮气>氧气>氢气>碳;

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供化学元素发现历史领域信息的专家，旨在根据化学元素发现历史领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解化学元素发现历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉化学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 氢气发现时间，氧气发现时间，氮气发现时间，碳发现时间
2. 元素发现的进化顺序
3. 历史上科学方法的发展与元素发现时间的关系

Answer: 
根据发现时间排序，正确答案是：
B 碳>氧气>氮气>氢气
解释如下：
1. 碳早在史前时代就被使用和认知，因此它是最早被发现的元素之一。
2. 氧气是由卡尔·威廉·舍勒和约瑟夫·普利斯特里分别在1772年和1774年发现并加以研究。
3. 氮气是由丹尼尔·卢瑟福在1772年首次发现和独立提取的。
4. 氢气则是由亨利·卡文迪什在1766年首次被分离和确认（虽然有证据表明舍勒也独立发现了氢气）。

故而，按照发现时间依次为：碳 > 氧气 > 氮气 > 氢气。
```",A
4,请按照速度排序以下动物:猎豹、兔子、狮子、鹰:A猎豹>鹰>狮子>兔子;B狮子>猎豹>兔子>鹰;C鹰>兔子>狮子>猎豹;,,"```markdown
**Question:** 请按照速度排序以下动物:猎豹、兔子、狮子、鹰:A猎豹>鹰>狮子>兔子;B狮子>猎豹>兔子>鹰;C鹰>兔子>狮子>猎豹;

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供动物速度信息的专家，旨在根据动物速度领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解动物速度领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 猎豹速度
2. 狮子速度
3. 动物速度排名
```","**Question:** 请按照速度排序以下动物:猎豹、兔子、狮子、鹰:A猎豹>鹰>狮子>兔子;B狮子>猎豹>兔子>鹰;C鹰>兔子>狮子>猎豹;

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供动物速度信息的专家，旨在根据动物速度领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解动物速度领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 猎豹速度
2. 狮子速度
3. 动物速度排名

**分析：**

1. **猎豹速度** - 众所周知，猎豹是陆地上奔跑最快的动物，其速度可达每小时112公里（约70英里）。
2. **狮子速度** - 狮子是动物中的快速奔跑者，但速度一般不及猎豹，最高速度约为每小时80公里（约50英里）。
3. **动物速度排名** - 总结各类动物的平均速度，可以帮助确定它们在速度上的排名。

**答案:**
根据上述动物速度信息，可以很清楚地排列它们的速度顺序为：
A 猎豹 > 鹰 > 狮子 > 兔子

因此，答案是A。",A
5,请按照历史影响力排序以下人物:拿破仑、恺撒、亚历山大大帝、成吉思汗:A成吉思汗>亚历山大大帝>拿破仑>恺撒;B亚历山大大帝>成吉思汗>恺撒>拿破仑;C拿破仑>恺撒>成吉思汗>亚历山大大帝;,,"```markdown
Question: 请按照历史影响力排序以下人物:拿破仑、恺撒、亚历山大大帝、成吉思汗:A成吉思汗>亚历山大大帝>拿破仑>恺撒;B亚历山大帝>成吉思汗>恺撒>拿破仑;C拿破仑>恺撒>成吉思汗>亚历山大帝;

Role: 根据各位历史人物对世界历史的深远影响力进行排序。

Profile: 你是一名专注于历史人物及其影响力评估的专家，旨在根据历史背景和成就提供高质量提示，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史人物的生平及他们对历史的贡献与影响。
2. 能够提供简明、准确的提示信息。
3. 熟悉历史学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名历史人物及其影响力的评估专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 留意各位历史人物的时间跨度、地理影响、军事成就和文化影响。
2. 评估每个人物在其所处时代的独特贡献及对后世的影响。
3. 注意常见的历史错觉和传说，避免将其作为评估标准。
```","根据你提供的信息，我们需要从历史影响力的角度来排序以下四位历史人物：拿破仑、恺撒、亚历山大大帝和成吉思汗。以下是我制定的排查和评估流程，旨在帮助你更准确地评估这些人物的历史影响力。

1. **时间跨度和地理影响**:
   - 评估各位历史人物的征服或统治区域的广度和这些区域在历史上的战略重要性。

2. **军事成就**:
   - 环顾各人物重大的战役、军事策略以及他们对战术和战略理论的贡献。

3. **文化与制度的影响**:
   - 各自统治时期对法律、文化、政治制度的影响，以及这些影响在后世的延续和传播。

4. **后世的评价**:
   - 研究学术界、历史学家如何评价这些人物及其影响力，并考虑常见的历史错觉和传说，避免将其作为评估标准。

基于这四项评估标准，我们可以处理并比较每一位历史人物的影响力，给出最合理的排序。

**1. 拿破仑**:
   - 时间跨度：19世纪初
   - 地理影响：主要在欧洲，但其影响延伸到了全球（拿破仑战争、法国殖民地）。
   - 军事成就：多次大规模的战役，如奥斯特利茨战役等，改革了许多军事战术。
   - 文化与制度的影响：法国民法典（《拿破仑法典》）对现代法律体系有重要影响。

**2. 恺撒**:
   - 时间跨度：前1世纪
   - 地理影响：扩展了罗马帝国的疆域，特别是高卢地区。
   - 军事成就：高卢战争、罗马内战等战役。
   - 文化与制度的影响：奠定了帝制的基础，影响了罗马以后的政治结构。

**3. 亚历山大大帝**:
   - 时间跨度：前4世纪
   - 地理影响：横跨欧亚非，建立了广阔的帝国。
   - 军事成就：迅速征服波斯帝国，并建立了马其顿帝国。
   - 文化与制度的影响：推广希腊文化，促进了东西方文化交流（希腊化时代）。

**4. 成吉思汗**:
   - 时间跨度：13世纪
   - 地理影响：建立了世界上领土最大的帝国（蒙古帝国）。
   - 军事成就：横扫亚欧大陆，对多个国家和地区进行征服。
   - 文化与制度的影响：促进了东西方贸易（丝绸之路的保护和重开），影响了多个文明的军事和政治体系。

基于上述评估标准，让我们分析提供的排序选项：

- **A: 成吉思汗 > 亚历山大大帝 > 拿破仑 > 恺撒**:
  - 成吉思汗的地理和军事影响力广泛，且文化制度影响深远。
  - 亚历山大大帝的文化传播和军事成就显著。
  - 拿破仑的重要战争及《拿破仑法典》影响极大。
  - 恺撒开辟了帝制时代，但对后世影响相对较小。

- **B: 亚历山大大帝 > 成吉思汗 > 恺撒 > 拿破仑**:
  - 亚历山大的跨文化影响立竿见影且持久。
  - 成吉思汗在时间和地理上的影响十分广泛。
  - 恺撒虽然军事成就显赫，但对后世的直接影响有限。
  - 拿破仑的法典影响立即，但在更广泛的文化上可能稍逊。

- **C: 拿破仑 > 恺撒 > 成吉思汗 > 亚历山大大帝**:
  - 拿破仑的重要性不容置疑，但直接排在首位略显偏颇。
  - 恺撒的成就虽高，但其影响相较其他三位可能稍弱。
  - 成吉思汗的影响必定不能低估。
  - 亚历山大大帝的文化传播意义不应低估。

最终评估来看，选项A（成吉思汗 > 亚历山大大帝 > 拿破仑 > 恺撒）最能反映四位历史人物在时间、地理、军事和文化上的综合影响力。因此，在历史影响力的标准上，A选项最为合理。",A
6,请按照发行时间排序以下电影:《教父》、《星球大战》、《泰坦尼克号》、《肖申克的救赎》:A《教父》>《星球大战》>《肖申克的救赎》>《泰坦尼克号》;B《星球大战》>《教父》>《泰坦尼克号》>《肖申克的救赎》;C《肖申克的救赎》>《泰坦尼克号》>《教父》>《星球大战》;,,"```markdown
Question: 请按照发行时间排序以下电影:《教父》、《星球大战》、《泰坦尼克号》、《肖申克的救赎》:A《教父》>《星球大战》>《肖申克的救赎》>《泰坦尼克号》;B《星球大战》>《教父》>《泰坦尼克号》>《肖申克的救赎》;C《肖申克的救赎》>《泰坦尼克号》>《教父》>《星球大战》;

Role: 提供电影发行时间的历史学家

Profile: 你是一名专注于电影历史的专家，旨在根据问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解电影历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影发行时间的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计电影发行时间初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名电影历史领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 电影发行年份
2. 时间线排序
3. 逐年增加的趋势
```","根据你的需求和背景信息，这里是针对电影发行时间的排序的相关提示词，帮助你有效地找到答案。

### 提示词：
1. **电影发行年份**
   - 明确每部电影的发行年份是最基本且必要的信息。
   - 例如：《教父》- 1972年, 《星球大战》- 1977年, 《肖申克的救赎》- 1994年, 《泰坦尼克号》- 1997年。

2. **时间线排序**
   - 根据发行年份将电影按时间线进行排序，确保排序的正确性。
   - 例如：从最早到最晚依次是《教父》-1972, 《星球大战》-1977, 《肖申克的救赎》-1994, 《泰坦尼克号》-1997。

3. **逐年增加的趋势**
   - 注意每部电影的发行年份是逐年增加的，避免混淆。
   - 例如，从1972年到1997年，电影数量逐年增加。

### 回答：
根据上述提示词和信息，电影按照发行时间排序如下：

A. 《教父》(1972年) > 《星球大战》(1977年) > 《肖申克的救赎》(1994年) > 《泰坦尼克号》(1997年)

因此，正确选项是 **A**。",B
7,请按照发行年份排序以下音乐专辑:《Thriller》、《BackinBlack》、《TheDarkSideoftheMoon》、《AbbeyRoad》:A《AbbeyRoad》>《TheDarkSideoftheMoon》>《BackinBlack》>《Thriller》;B《TheDarkSideoftheMoon》>《Thriller》>《BackinBlack》>《AbbeyRoad》;C《BackinBlack》>《Thriller》>《TheDarkSideoftheMoon》>《AbbeyRoad》;,,"```markdown
Question: 请按照发行年份排序以下音乐专辑:《Thriller》、《BackinBlack》、《TheDarkSideoftheMoon》、《AbbeyRoad》:A《AbbeyRoad》>《TheDarkSideoftheMoon》>《BackinBlack》>《Thriller》;B《TheDarkSideoftheMoon》>《Thriller》>《BackinBlack》>《AbbeyRoad》;C《BackinBlack》>《Thriller》>《TheDarkSideoftheMoon》>《AbbeyRoad》;
Role: 依据不同音乐专辑的发行年份排序提供依据和提示
Profile: 你是一名专注于音乐历史和音乐领域信息的专家，旨在根据音乐专辑发行年份提供高质量提示词，提升回答的准确性，避免误导性信息。
Skills: 
1. 深入了解音乐专辑的发行历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉音乐领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和音乐领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计音乐专辑发行年份领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名音乐历史领域信息专家，请结合给出的专辑生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词: 请查阅《Abbey Road》的发行年份，该专辑由The Beatles创作。
2. 提示词: 提供《The Dark Side of the Moon》的发行年份信息，由Pink Floyd演奏。
3. 提示词: 再查看《Back in Black》的发行年份，该专辑由AC/DC发布。
```","根据你的需求和提供的情况，以下是对这几张音乐专辑发行年份的相关提示和信息，以帮助你准确排序这些专辑：

1. **《Abbey Road》**：
   - 由The Beatles创作
   - 发行年份：1969年

2. **《The Dark Side of the Moon》**：
   - 由Pink Floyd演奏
   - 发行年份：1973年

3. **《Back in Black》**：
   - 由AC/DC发布
   - 发行年份：1980年

4. **《Thriller》**：
   - 由Michael Jackson发布
   - 发行年份：1982年

根据这些信息，正确的排序应该是从最早到最晚的顺序：

**D.《Abbey Road》 (1969) > 《The Dark Side of the Moon》 (1973) > 《Back in Black》 (1980) > 《Thriller》 (1982)**

因此，选项A是正确的。",A
8,请按照首次夺得奥运金牌的时间排序以下国家:美国、希腊、中国、俄罗斯:A希腊>美国>俄罗斯>中国;B中国>俄罗斯>美国>希腊;C美国>希腊>中国>俄罗斯;,,"```markdown
Question: 请按照首次夺得奥运金牌的时间排序以下国家:美国、希腊、中国、俄罗斯:A希腊>美国>俄罗斯>中国;B中国>俄罗斯>美国>希腊;C美国>希腊>中国>俄罗斯;
Role: 体育历史研究专家
Profile: 你是一名专注于提供体育历史问题领域信息的专家，旨在根据体育历史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解体育历史及奥运会相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉奥林匹克的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名体育历史信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 国家、首次夺冠年份、赛事。
2. 奥运会历史背景，主要事件顺序。
3. 首次夺得金牌的奥运会。
```","根据你的需求和背景信息，我们可以生成一些能够帮助回答此类问题的提示词。以下是结合案例生成的最合适的Top-3提示词：

1. **国家、首次夺冠年份、赛事**：
   - 提示：列出每个国家首次夺得奥运金牌的年份和具体赛事。

   示例：
   - 希腊：1896年雅典奥运会，举重。
   - 美国：1896年雅典奥运会，田径（1500米）。
   - 中国：1984年洛杉矶奥运会，射击（男子自选手枪慢射）。
   - 俄罗斯：1952年赫尔辛基奥运会，体操（苏联时期）。

2. **奥运会历史背景，主要事件顺序**：
   - 提示：列出历届奥运会的重要事件和首次夺得金牌的国家。

   示例：
   - 1896年雅典奥运会：美国、希腊等。
   - 1952年赫尔辛基奥运会：苏联（今俄罗斯）。
   - 1984年洛杉矶奥运会：中国。

3. **首次夺得金牌的奥运会**：
   - 提示：指出每个国家首次夺得奥运金牌的具体奥运会，并排序。

   示例：
   - 希腊：1896年雅典奥运会。
   - 美国：1896年雅典奥运会。
   - 俄罗斯：1952年赫尔辛基奥运会（苏联）。
   - 中国：1984年洛杉矶奥运会。

通过这些提示词，可以确保在回答时提供清晰、有指导性的体育历史信息，以避免任何误导。",A
9,请按照世界遗产地指定时间排序以下地点:大堡礁、黄石国家公园、加利西亚的圣地亚哥朝圣之路、泰姬陵:A黄石国家公园>大堡礁>泰姬陵>加利西亚的圣地亚哥朝圣之路;B泰姬陵>大堡礁>黄石国家公园>加利西亚的圣地亚哥朝圣之路;C大堡礁>黄石国家公园>加利西亚的圣地亚哥朝圣之路>泰姬陵;,,"```markdown
Question: 请按照世界遗产地指定时间排序以下地点:大堡礁、黄石国家公园、加利西亚的圣地亚哥朝圣之路、泰姬陵:
A黄石国家公园>大堡礁>泰姬陵>加利西亚的圣地亚哥朝圣之路;
B泰姬陵>大堡礁>黄石国家公园>加利西亚的圣地亚哥朝圣之路;
C大堡礁>黄石国家公园>加利西亚的圣地亚哥朝圣之路>泰姬陵;

Role: 世界遗产领域信息专员

Profile: 你是一名专注于世界遗产领域信息的专家，旨在根据世界遗产领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解世界遗产的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 黄石国家公园, 世界遗产, 指定时间, 探索时间轴
2. 大堡礁, 联合国教科文组织, 登记年份
3. 泰姬陵, 世界遗产地, 各地点指定时间比对
```","看起来你需要根据世界遗产地的指定时间对几个著名地点进行排序。以下是相关信息：

1. **黄石国家公园**：黄石国家公园是美国第一个国家公园，也是世界上第一个国家公园。它在1978年成为联合国教科文组织的世界遗产地。
2. **大堡礁**：大堡礁位于澳大利亚，是世界上最大的珊瑚礁生态系统。它在1981年被列为世界遗产。
3. **泰姬陵**：泰姬陵是位于印度阿格拉的一座著名的白色大理石陵墓，建于17世纪。它在1983年被列为世界遗产。
4. **加利西亚的圣地亚哥朝圣之路**：这条著名的朝圣之路位于西班牙，始建于中世纪，1985年被列为世界遗产。

现在，根据这些信息来排序：

A. 黄石国家公园 > 大堡礁 > 泰姬陵 > 加利西亚的圣地亚哥朝圣之路;
B. 泰姬陵 > 大堡礁 > 黄石国家公园 > 加利西亚的圣地亚哥朝圣之路;
C. 大堡礁 > 黄石国家公园 > 加利西亚的圣地亚哥朝圣之路 > 泰姬陵;

正确答案是 **A**，因为黄石国家公园在1978年成为世界遗产，其次是大堡礁在1981年，泰姬陵在1983年，加利西亚的圣地亚哥朝圣之路在1985年。

### Top-3提示词:
1. 黄石国家公园, 世界遗产, 指定时间, 探索时间轴
2. 大堡礁, 联合国教科文组织, 登记年份
3. 泰姬陵, 世界遗产地, 各地点指定时间比对",C
10,请按照发现时间排序以下古生物化石:始祖鸟、霸王龙、三叶虫、猛犸象:A三叶虫>始祖鸟>霸王龙>猛犸象;B猛犸象>霸王龙>始祖鸟>三叶虫;C霸王龙>三叶虫>始祖鸟>猛犸象;,,"```markdown
Question: 请按照发现时间排序以下古生物化石:始祖鸟、霸王龙、三叶虫、猛犸象:A三叶虫>始祖鸟>霸王龙>猛犸象;B猛犸象>霸王龙>始祖鸟>三叶虫;C霸王龙>三叶虫>始祖鸟>猛犸象;
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供古生物学领域信息的专家，旨在根据古生物化石发现时间生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解古生物学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 化石发现时间顺序、始祖鸟、霸王龙、三叶虫、猛犸象。
2. 根据古生物学文献或发现年限检查化石排序。
3. 检查化石发现年表。
```","根据你的要求，我将提供相关的具体提示，以便正确回答你关于古生物化石发现时间顺序的问题：

1. **化石发现时间顺序、始祖鸟、霸王龙、三叶虫、猛犸象**：
   - 了解这些古生物化石的发现历史，可以帮助准确决定其发现先后顺序。

2. **根据古生物学文献或发现年限检查化石排序**：
   - 参考相关的古生物学文献或考古发现记录，可以确定这些化石的发现时间顺序。

3. **检查化石发现年表**：
   - 查阅已公开的化石发现年表，找出始祖鸟、霸王龙、三叶虫、猛犸象的具体发现时间，从而确定正确的排序。

希望这些提示能够帮助您找到正确的答案。根据提示可以得出：

A. 三叶虫 (18世纪早期)
B. 始祖鸟 (1861年)
C. 霸王龙 (1902年)
D. 猛犸象 (18世纪)

根据这些年份，正确的排序应是：
A三叶虫 > 始祖鸟 > 霸王龙 > 猛犸象。",A
11,请根据诺贝尔奖获奖次数排序以下国家:美国、英国、德国、法国:A美国>英国>德国>法国;B德国>美国>法国>英国;C英国>法国>美国>德国;,,"```markdown
Question: 请根据诺贝尔奖获奖次数排序以下国家:美国、英国、德国、法国:A美国>英国>德国>法国;B德国>美国>法国>英国;C英国>法国>美国>德国;
Role: 提供诺贝尔奖获奖次数排序的历史信息专家。
Profile: 你是一名专注于提供诺贝尔奖获奖次数领域信息的专家，旨在根据诺贝尔奖获奖次数生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解诺贝尔奖获奖次数的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉诺贝尔奖领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和诺贝尔奖领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计诺贝尔奖获奖次数领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名诺贝尔奖获奖次数领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 诺贝尔奖获奖数量按国家排序。
2. 各国在不同诺贝尔奖类别中的获奖情况。
3. 历年诺贝尔奖获奖者国籍数据。
```","根据诺贝尔奖的历史数据，美国在诺贝尔奖得主的数量上通常领先于其他国家，其次是英国、德国和法国。根据你提供的选项，最符合实际情况的是选项A。以下是基于以上信息所设计的提示词，用于进一步帮助理解和验证诺贝尔奖获奖次数方面的信息：

1. **美国的诺贝尔奖获奖数量领先其他国家，紧随其后的是英国和德国，最后是法国**。
2. **各国在诺贝尔奖不同类别中的获奖情况可以提供更详细的比较**。
3. **历年诺贝尔奖获奖者的国籍数据有助于验证和分析各国的表现**。

希望这些提示词能够帮助满足你对诺贝尔奖获奖次数排序的理解需求。",A
