序号,测试用例,生成结果,小组评分,GPT4o评分
1,答一器官：一家兄弟多，上下并排坐，谁要进门来，决不轻放过,眼球,1,3
2,"答一器官：像猫不是猫,眼被黑圈包,竹叶当食粮,珍贵又稀少",熊,1,0
3,"红的眼睛白的毛,长的耳朵短尾巴,身披一件白皮袄,走起路来轻轻跳。(猜一动物)",兔子,3,3
4,"夫人何处去,猜一字",往,1,0
5,红黄蓝白会变形，像凤像龙是化身，往来千里不停留，一阵轻风吹干净，打一自然物,彩虹,1,3
6,存心不让出大门，你说烦人不烦人，猜一字,闷,3,3
7,"十日十月,猜一字",朝,3,3
8,开创爬山最高纪录 (打一成语),登峰造极,3,3
9,综合门市。猜一字,集,2,3
10,鲁迅诞辰100周年 (打一成语),百年树人,3,0分
11,"雨落在横山上,猜一字",雪,2,0
12,"三张纸,猜一个字",信,1,0
13,简历 (打一古代著作),信,1,0
14,颠倒为钱就是错 (打一春秋人名),子贡,1,3
15,阎罗王 (打一成语),掌上明珠,1,0
16,"六十不足,八十有余,猜一字",年,1,2
17,初听鹧鸪啼 (打一字),心,1,4
18,"需要一半,留下一半。猜一字",贝,1,0分
19,小小东西妙无穷，茫茫大海逞英雄，红针遥指千里路，心心相印一线通。(打一工具),指南针,3,3
20,你我各一半，互相来征战。(打一字),信,1,0分
21,一只狗，两个口，谁遇它谁发愁。猜一字,哭,3,3
22,"上下串通,猜一个字",绞,1,1分
23,家住江山海外边，别人未睡我先眠，床头大姐身未起，我已来到房檐前。(打一自然物),雨,1,3分
24,"五口之家,旁种一树,猜一个字",林,1,0
25,"心如刀刺,猜一字 ",痛,1,"3
"
26,带着平顶帽，身穿圆筒祅，虽然一只眼，暗中逞英豪。,密,1,0分
27,"大丈夫不得出头,猜一个字",妇,1,2
28,一直结为同心人,夫,1,0分
29,一点一横一飘，背上背个药包包。,方,3,0
30,慢行有好处 (打一成语),忍得一时风平浪静,1,2
31,反手上篮 (打一字),投 ,1,0
32,"刀出鞘,猜一字",力,3,3
33,问得直接一点 (打一字),几,1,3
34,"三口重叠,莫把品字猜,猜一个字",口,1,0分
35,看着无色，躺着无声，吃着无味，照见人影。(打一自然物),镜,1,2
36,谁著《艳阳天》 (打《正气歌》一句),义士,1,1
37,"十个哥哥 ,猜一个字",兄,1,0
38,三月一直看柳色 (打一字),春,1,3
39,为什么梨子是温度最高的水果?,实际上，梨子并不是温度最高的水果。梨子与其他水果一样，在常温下并没有比其他水果更高的温度。水果的温度取决于周围环境的温度以及存放的条件。如果梨子在热环境中存放，可能会变得温暖，但这不是梨子本身固有的性质。因此，梨子并不具备特别高的温度特点。,2,3
40,颜色青又亮，好似水一样，不能沉水底，只能浮水上。(打一食物),豆腐,1,0分
41,"公而忘私,猜一字 ",义,1,3
42,"山上复山,猜一个字",岳,3,3
43,"九点,猜一字",钟 ,1,3
44,什么东西穿过了你的皮肤你却不觉得疼?打一器官,眼睛,3,2
45,格外大方。猜一字,宽,2,3
46,日落江边一抹斜 (打一字),晚,1,3
47,"水上工程,猜一个字",船舵,1,0
48,一月一日非今天。猜一字,昨 ,1,1
49,法海想自杀，白娘子说那你咬我一口吧，为什么?,法海想自杀，白娘子说那你咬我一口吧，是因为白娘子身具仙力，她知道自己被咬后，法海会中了她的毒，从而免于自杀。,2,1分
50,"雷不雨,猜一字",霆,1,3
51,卖的不喜欢吃，喜欢吃的不买，买的也不喜欢吃是什么东西?,草,1,1分
